q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10   
q0
q0
1 2 3 4 . N
0 1 \n
q0 1 q1 e
q0 2 q2 e
q0 3 q2 e
q0 4 q2 e
q0 N q0 \n
q1 1 q10 e
q1 2 q3 e
q1 3 q3 e
q1 4 q3 e
q2 1 q4 e
q2 2 q3 e
q2 3 q7 e
q2 4 q7 e
q3 1 q4 e
q3 2 q10 e
q3 3 q4 e
q3 4 q4 e
q4 1 q5 e
q4 2 q5 e
q4 3 q10 e
q4 4 q5 e
q5 1 q6 e
q5 2 q6 e
q5 3 q6 e
q5 4 q10 e
q5 . q0 0
q6 1 q6 e
q6 2 q6 e
q6 3 q6 e
q6 4 q6 e
q6 . q0 1
q7 1 q8 e
q7 2 q5 e
q7 3 q4 e
q7 4 q8 e
q8 1 q9 e
q8 2 q9 e
q8 3 q6 e
q8 4 q5 e
q9 1 q6 e
q9 2 q6 e
q9 3 q6 e
q9 4 q6 e
q9 . q0 1
q10 1 q10 e
q10 2 q10 e
q10 3 q10 e
q10 4 q10 e
q10 . q0 0
